study_id,yi,sei,rob_selection,rob_measurement,rob_reporting,quality_score,moderator,design,true_effect,internal_bias,selection_probability,selected
study_53,0.6865922718883216,0.1837771441753635,0.0,1.0,0.0,0.3333333333333333,-0.6542832766875555,RCT,0.15872442867094047,0.09,0.7364045794787201,0
study_54,0.5263459136421076,0.16302464562064545,0.0,1.0,1.0,0.6666666666666666,0.4278904406949172,RCT,0.29784481624113907,0.16,0.7971667806317236,1
study_55,0.33335008670404315,0.16987811436647696,0.0,0.0,0.0,0.0,-0.18924434093640552,RCT,0.26748780813249223,0.0,0.45134939556804177,0
study_56,-0.07113352134932974,0.18272393527373454,1.0,0.0,0.0,0.3333333333333333,0.32866200228248105,RCT,-0.1606317930527938,0.12,0.25105988405433965,0
study_57,0.4266506074013365,0.1280156818415178,0.0,0.0,0.0,0.0,0.3619218539288437,OBS,0.3220904878499302,0.0,0.7354326219379942,1
study_58,0.3442525443481657,0.14668600331199194,1.0,0.0,0.0,0.3333333333333333,1.320661655528167,RCT,0.1325612944476019,0.12,0.7299488599749118,1
study_59,0.7424289114047852,0.07376548968170177,0.0,1.0,1.0,0.6666666666666666,-0.3427861508643793,RCT,0.4900948032011412,0.16,0.8999149595734575,1
study_60,0.13927090077253246,0.06947011250111548,0.0,0.0,0.0,0.0,-1.4768578168457318,OBS,0.1754872625796745,0.0,0.70610800147529,1
study_61,0.21984237663653616,0.16362850350438018,0.0,1.0,0.0,0.3333333333333333,1.067222416571983,RCT,0.20108744984898064,0.09,0.29377646457266915,1
study_62,0.3310210985073235,0.13008635504433252,0.0,1.0,0.0,0.3333333333333333,-0.3314881720972547,OBS,0.3033458837014449,0.09,0.7708982877262245,1
study_63,0.4800002245824575,0.1460901381018021,0.0,0.0,0.0,0.0,1.114592444577377,OBS,0.3644718919242762,0.0,0.7139726510498394,1
study_64,0.537131289442631,0.18004980576072432,0.0,0.0,0.0,0.0,0.3833771131824704,RCT,0.2673492625103704,0.0,0.6827920365470797,1
study_65,0.008766204662455632,0.15790211440010044,0.0,0.0,0.0,0.0,-0.13113753020334493,RCT,0.081218088703115,0.0,0.22527454139786815,0
study_66,0.2622925280660109,0.14410849811185927,0.0,0.0,0.0,0.0,0.3487758940462951,OBS,0.323506032015649,0.0,0.3811862761368333,0
study_67,0.5013474134078825,0.14506521732672029,1.0,1.0,0.0,0.6666666666666666,1.9510125601262995,OBS,0.24578573266983705,0.21,0.8106756101016094,1
study_68,0.3261445603531095,0.10167151667064407,0.0,0.0,0.0,0.0,2.076980529053753,OBS,0.3511315047986737,0.0,0.776614007557527,1
study_69,-0.038549619639829905,0.0552390318765497,0.0,0.0,0.0,0.0,0.0693811351327787,RCT,-0.09114014173380988,0.0,0.5063133939576071,0
study_70,0.03074627415838671,0.1242419561695016,0.0,0.0,0.0,0.0,0.1601905933170753,OBS,0.3105114896029574,0.0,0.26269129515700695,0
study_71,0.30626634059170144,0.08647939437931997,1.0,0.0,1.0,0.6666666666666666,1.0762401574663856,RCT,0.18775929237940175,0.19,0.8779462571527584,1
study_72,0.1585598680620494,0.11944986943318814,0.0,1.0,1.0,0.6666666666666666,-0.8456610327673472,RCT,0.09201939699613784,0.16,0.40988919056067497,1
study_73,0.044446099629909974,0.1950785224555882,1.0,1.0,0.0,0.6666666666666666,0.3330703726182551,RCT,0.28709772209713963,0.21,0.304826885035255,0
study_74,0.2420501300970127,0.08976971259710792,0.0,1.0,0.0,0.3333333333333333,-0.0258628479538564,RCT,0.2385556762955244,0.09,0.8364641287919145,1
study_75,0.19547075763335175,0.05991146608714122,0.0,0.0,1.0,0.3333333333333333,0.3139082114575536,RCT,0.18029910223229484,0.07,0.9067217626364382,1
study_76,0.29141811725057937,0.0978352616437394,0.0,0.0,0.0,0.0,-0.8333688059494058,RCT,0.31109324374320296,0.0,0.783230288117957,0
study_77,0.29825824858594113,0.09991093882033622,0.0,0.0,0.0,0.0,-1.589567493308969,OBS,0.18706078147515157,0.0,0.7792362802717747,1
study_78,0.12504550497174674,0.16252580750357215,0.0,0.0,0.0,0.0,-2.0729834359912918,RCT,0.16487418519386687,0.0,0.22968166556680086,1
study_79,0.05883748091589677,0.1446954658980173,0.0,0.0,0.0,0.0,-1.1173841129896078,RCT,0.20799155242459985,0.0,0.24083598799093892,0
study_80,0.3362288239750348,0.18326269554809027,1.0,0.0,1.0,0.6666666666666666,-0.458675284939333,RCT,0.15666646672153092,0.19,0.4805115522168319,0
